,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,vwap,Day_Perc_Change,Trend
0,2018-04-09,56.0,61.6,73.9,57.25,72.3,71.65,65.59,67619635,4434900466.7,263630,13918070,20.58,4,2018,71.65,0.0,Slight or No change
1,2018-04-10,71.65,69.85,71.5,65.4,66.5,66.85,68.42,15217104,1041159166.2,87183,3186294,20.94,4,2018,70.76824028707841,-0.06699232379623188,Slight or No change
2,2018-04-11,66.85,67.25,69.7,66.05,66.95,66.95,67.69,9094509,615621579.8,44895,2323539,25.55,4,2018,70.39051213250146,0.0014958863126404154,Slight or No change
3,2018-04-12,66.95,67.1,67.7,65.1,66.5,66.4,66.44,2408408,160021982.75,14777,681080,28.28,4,2018,70.28863788627764,-0.00821508588498876,Slight or No change
4,2018-04-13,66.4,66.7,68.2,66.5,67.6,67.7,67.56,2406014,162540027.5,20955,994028,41.31,4,2018,70.22425982165403,0.01957831325301207,Slight or No change
5,2018-04-16,67.7,66.9,68.1,66.0,67.45,67.25,67.28,2128485,143204600.45,14187,1188805,55.85,4,2018,70.16023229680192,-0.006646971935007406,Slight or No change
6,2018-04-17,67.25,67.6,70.2,66.85,68.3,68.5,69.09,4825528,333377403.35,24391,1940412,40.21,4,2018,70.0829755762127,0.018587360594795488,Slight or No change
7,2018-04-18,68.5,69.0,71.7,65.9,68.2,68.05,69.81,6054807,422702405.2,29244,1818832,30.04,4,2018,69.97082276360631,-0.006569343065693456,Slight or No change
8,2018-04-19,68.05,69.2,72.7,68.5,72.65,71.85,70.89,3326199,235797551.35,15997,1246134,37.46,4,2018,70.02609760761185,0.0558412931667891,Slight or No change
9,2018-04-20,71.85,72.5,85.5,72.1,82.35,83.7,79.74,18742753,1494568727.6,72952,2689086,14.35,4,2018,71.97026300944258,0.16492693110647205,Slight or No change
10,2018-04-23,83.7,83.0,90.9,80.4,84.05,83.95,86.39,17221425,1487687521.15,103513,3391690,19.69,4,2018,73.35446460091778,0.0029868578255674016,Slight or No change
11,2018-04-24,83.95,84.5,86.7,80.55,81.75,81.65,83.32,4452462,370969744.4,28711,1206266,27.09,4,2018,73.59509130351056,-0.0273972602739726,Slight or No change
12,2018-04-25,81.65,81.7,82.0,74.4,75.1,75.65,77.01,4514470,347638878.1,25186,1783643,39.51,4,2018,73.65380099305115,-0.07348438456827922,Slight or No change
13,2018-04-26,75.65,75.5,75.65,70.25,72.4,73.1,72.57,5474867,397330923.75,32843,1868477,34.13,4,2018,73.63525521891798,-0.03370786516853952,Slight or No change
14,2018-04-27,73.1,73.0,76.9,72.2,75.4,75.35,75.08,3916156,294032531.3,24179,821997,20.99,4,2018,73.67536928618802,0.03077975376196984,Slight or No change
15,2018-04-30,75.35,75.5,76.9,73.8,75.75,75.55,75.53,1401796,105875774.8,9234,375394,26.78,4,2018,73.69093669108032,0.002654280026542777,Slight or No change
16,2018-05-02,75.55,75.8,80.8,75.2,78.5,78.4,78.35,3896698,305299189.25,26327,1209300,31.03,5,2018,73.79718832831593,0.03772336201191284,Slight or No change
17,2018-05-03,78.4,80.0,80.4,76.5,79.0,79.0,78.53,2774372,217874877.85,22654,777277,28.02,5,2018,73.87944778652185,0.007653061224489832,Slight or No change
18,2018-05-04,79.0,78.65,79.55,76.6,76.8,77.2,78.15,1027937,80329013.25,9315,378430,36.81,5,2018,73.89878630424728,-0.02278481012658229,Slight or No change
19,2018-05-07,77.2,77.2,77.45,70.3,72.9,73.2,73.96,2951116,218271676.55,63183,1917716,64.98,5,2018,73.88729483051105,-0.051813471502590636,Slight or No change
20,2018-05-08,73.2,73.6,74.95,72.35,72.8,72.9,73.58,2464144,181304305.6,52056,1518496,61.62,5,2018,73.87392163600828,-0.004098360655737654,Slight or No change
21,2018-05-09,72.9,73.05,74.6,72.0,72.1,72.4,73.37,2289495,167987192.75,50832,1686130,73.65,5,2018,73.85560251167726,-0.006858710562414272,Slight or No change
22,2018-05-10,72.4,72.85,73.4,71.1,71.5,71.55,72.08,1916462,138147915.6,44113,1315863,68.66,5,2018,73.83186253396525,-0.01174033149171283,Slight or No change
23,2018-05-11,71.55,71.95,71.95,68.2,69.2,69.3,70.08,1544306,108226567.3,31340,1076701,69.72,5,2018,73.79457040269614,-0.03144654088050314,Slight or No change
24,2018-05-14,69.3,69.45,71.7,66.2,69.0,68.1,69.79,2301609,160620222.9,29608,1471855,63.95,5,2018,73.72557728661364,-0.017316017316017396,Slight or No change
25,2018-05-15,68.1,68.45,68.8,66.0,66.4,66.75,66.95,1411571,94497724.35,11760,737133,52.22,5,2018,73.6741277995636,-0.01982378854625544,Slight or No change
26,2018-05-16,66.75,66.5,66.8,63.0,65.55,65.0,65.17,4602647,299955495.85,23137,3672504,79.79,5,2018,73.4704185698419,-0.02621722846441943,Slight or No change
27,2018-05-17,65.0,65.15,68.65,64.5,65.05,65.1,66.73,4371369,291700332.4,20118,2850776,65.21,5,2018,73.28779301617722,0.0015384615384614886,Slight or No change
28,2018-05-18,65.1,65.5,65.75,63.0,63.85,63.95,63.96,1314524,84071869.3,8433,691706,52.62,5,2018,73.22692774025249,-0.01766513056835628,Slight or No change
29,2018-05-21,63.95,63.85,63.85,61.8,63.5,63.05,62.77,775558,48682276.0,6455,323064,41.66,5,2018,73.18794064682574,-0.014073494917904661,Slight or No change
30,2018-05-22,63.05,62.95,68.0,62.55,66.3,66.35,65.72,1436399,94407132.45,8678,421167,29.32,5,2018,73.13976586257326,0.05233941316415547,Slight or No change
31,2018-05-23,66.35,66.4,68.5,64.1,65.15,65.15,66.72,782434,52201228.4,15352,272471,34.82,5,2018,73.10922103785087,-0.01808590806330046,Slight or No change
32,2018-05-24,65.15,65.2,67.45,64.1,65.9,65.4,66.12,899280,59462023.6,11662,410833,45.68,5,2018,73.07549562816375,0.0038372985418264616,Slight or No change
33,2018-05-25,65.4,66.0,67.4,64.25,65.85,65.7,65.98,1135981,74952012.65,12179,540442,47.57,5,2018,73.03496151194975,0.004587155963302614,Slight or No change
34,2018-05-28,65.7,68.45,70.0,67.1,69.2,69.05,68.75,1783592,122626781.6,16131,689571,38.66,5,2018,73.00086996701216,0.050989345509893313,Slight or No change
35,2018-05-29,69.05,69.9,70.9,69.65,70.3,70.1,70.12,1536212,107726422.85,13780,895037,58.26,5,2018,72.97965130031892,0.01520637219406229,Slight or No change
36,2018-05-30,70.1,70.8,75.75,70.0,72.6,72.45,73.34,3715096,272467632.8,29509,1616828,43.52,5,2018,72.97044503292904,0.03352353780313844,Slight or No change
37,2018-05-31,72.45,73.45,74.7,71.0,73.65,72.6,73.61,1438929,105916315.2,10419,676980,47.05,5,2018,72.96796776692003,0.0020703933747410197,Slight or No change
